"MpTak_v6.1"	"Name"	"product"	"MPGENES"	"annots"
"Mp4g15080"	""	""	""	"[K01602]: rbcS, cbbS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39];
[PTHR31262]: RIBULOSE BISPHOSPHATE CARBOXYLASE SMALL CHAIN 1, CHLOROPLASTIC;
[PTHR31262:SF0]: RIBULOSE BISPHOSPHATE CARBOXYLASE SMALL CHAIN 1, CHLOROPLASTIC;
[PF00101]: Ribulose bisphosphate carboxylase, small chain"
"Mp4g15090"	""	""	""	"[KOG3010]: Methyltransferase; C-term missing; [R];
[PTHR42912]: METHYLTRANSFERASE;
[PTHR42912:SF34]: EXPRESSED PROTEIN;
[PF08241]: Methyltransferase domain"
"Mp4g15110"	""	""	""	"[KOG1269]: SAM-dependent methyltransferases; N-term missing; C-term missing; [IR];
[PTHR43036:SF1]: S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN;
[PTHR43036]: OSJNBB0011N17.9 PROTEIN;
[PF08241]: Methyltransferase domain"
"Mp4g15130"	""	""	""	"[PTHR38074];
[PF01987]: Mitochondrial biogenesis AIM24"
"Mp4g15150"	"MpPRX2"	"peroxiredoxin"	"[MpPRX2]: peroxiredoxin"	"[K24140]: PRXII; glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25];
[KOG0541]: Alkyl hydroperoxide reductase/peroxiredoxin; [O];
[PTHR10430]: PEROXIREDOXIN;
[PF08534]: Redoxin"
"Mp4g15160"	""	""	""	"[KOG1607]: Protein transporter of the TRAM (translocating chain-associating membrane) superfamily; N-term missing; [U];
[PTHR12560:SF49]: LAG1 LONGEVITY ASSURANCE HOMOLOG 3;
[PTHR12560]: LONGEVITY ASSURANCE FACTOR 1  LAG1;
[PF03798]: TLC domain"
"Mp4g15170"	"MpGARP6"	"transcription factor, GARP"	"[MpGARP6]: transcription factor, GARP"	"[PTHR31003]: MYB FAMILY TRANSCRIPTION FACTOR;
[PTHR31003:SF19]: HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN-RELATED;
[PF00249]: Myb-like DNA-binding domain"
"Mp4g15200"	""	""	""	"[K17086]: TM9SF2_4; transmembrane 9 superfamily member 2/4;
[KOG1278]: Endosomal membrane proteins, EMP70; [U];
[PTHR10766:SF108]: TRANSMEMBRANE 9 SUPERFAMILY MEMBER;
[PTHR10766]: TRANSMEMBRANE 9 SUPERFAMILY PROTEIN;
[PF02990]: Endomembrane protein 70"
"Mp4g15210"	""	""	""	"[K10397]: KIF6_9; kinesin family member 6/9;
[KOG4280]: Kinesin-like protein; C-term missing; [Z];
[PTHR24115:SF191]: KINESIN-LIKE PROTEIN KIF9;
[PTHR24115]: KINESIN-RELATED;
[PF00225]: Kinesin motor domain"
"Mp4g15230"	""	""	""	"[PTHR30372]: LIPID-A-DISACCHARIDE SYNTHASE;
[PTHR30372:SF4]: LIPID-A-DISACCHARIDE SYNTHASE, MITOCHONDRIAL-RELATED"
"Mp4g15240"	"MpTRIHELIX27"	"transcription factor, Trihelix"	"[MpTRIHELIX27]: transcription factor, Trihelix"	"[KOG4282]: Transcription factor GT-2 and related proteins, contains trihelix DNA-binding/SANT domain; [K];
[PTHR21654];
[PTHR21654:SF64]: TRIHELIX TRANSCRIPTION FACTOR GTL1-LIKE;
[PF13837]: Myb/SANT-like DNA-binding domain"
"Mp4g15250"	""	""	""	"[K15326]: TSEN54; tRNA-splicing endonuclease subunit Sen54;
[PTHR21027]: TRNA-SPLICING ENDONUCLEASE SUBUNIT SEN54"
"Mp4g15260"	""	""	""	"[KOG2615]: Permease of the major facilitator superfamily; [R];
[PTHR23504:SF94]: OS12G0133100 PROTEIN;
[PTHR23504]: MAJOR FACILITATOR SUPERFAMILY DOMAIN-CONTAINING PROTEIN 10;
[PF07690]: Major Facilitator Superfamily"
"Mp4g15270"	""	""	""	"[PTHR31916];
[PTHR31916:SF15]: ALKALINE/NEUTRAL INVERTASE D-RELATED;
[PF12899]: Alkaline and neutral invertase"
"Mp4g15300"	""	""	""	"[K03178]: UBE1, UBA1; ubiquitin-activating enzyme E1 [EC:6.2.1.45];
[KOG2012]: Ubiquitin activating enzyme UBA1; [O];
[PTHR10953]: UBIQUITIN-ACTIVATING ENZYME E1;
[PTHR10953:SF4]: GH24511P;
[PF00899]: ThiF family;
[PF09358]: Ubiquitin fold domain;
[PF10585]: Ubiquitin-activating enzyme active site;
[PF16191]: Ubiquitin-activating enzyme E1 four-helix bundle;
[PF16190]: Ubiquitin-activating enzyme E1 FCCH domain"
"Mp4g15320"	""	""	""	"[K23504]: SERAC1; protein SERAC1;
[KOG2029]: Uncharacterized conserved protein; N-term missing; [S];
[PTHR48187]"
"Mp4g15330"	""	""	""	"[K12867]: SYF1, XAB2; pre-mRNA-splicing factor SYF1;
[KOG2047]: mRNA splicing factor; [A];
[PTHR11246]: PRE-MRNA SPLICING FACTOR;
[PTHR11246:SF5]: PRE-MRNA-SPLICING FACTOR SYF1"
"Mp4g15340"	""	""	""	"[K11650]: SMARCD; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D;
[KOG2570]: SWI/SNF transcription activation complex subunit; [BK];
[PTHR13844]: SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY D;
[PTHR13844:SF41]: SWI/SNF COMPLEX COMPONENT SNF12 HOMOLOG ISOFORM X1;
[PF02201]: SWIB/MDM2 domain"
"Mp4g15370"	""	""	""	"[K01537]: ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10];
[KOG0202]: Ca2+ transporting ATPase; N-term missing; [P];
[PTHR42861]: CALCIUM-TRANSPORTING ATPASE;
[PTHR42861:SF102]: CALCIUM-TRANSPORTING ATPASE 2, ENDOPLASMIC RETICULUM-TYPE;
[PF00689]: Cation transporting ATPase, C-terminus"
"Mp4g15380"	""	""	""	"[PTHR48173];
[PF06101]: Vacuolar protein sorting-associated protein 62"
"Mp4g15390"	""	""	""	"[K22733]: NIPA, SLC57A2S; magnesium transporter;
[KOG2922]: Uncharacterized conserved protein; [S];
[PTHR12570:SF72]: MAGNESIUM TRANSPORTER NIPA4-RELATED;
[PTHR12570]: UNCHARACTERIZED;
[PF05653]: Magnesium transporter NIPA"
"Mp4g15400"	""	""	""	"[K01409]: KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234];
[KOG2708]: Predicted metalloprotease with chaperone activity (RNAse H/HSP70 fold); [O];
[PTHR11735:SF14]: TRNA N6-ADENOSINE THREONYLCARBAMOYLTRANSFERASE-RELATED;
[PTHR11735]: TRNA N6-ADENOSINE THREONYLCARBAMOYLTRANSFERASE;
[PF00814]: tRNA N6-adenosine threonylcarbamoyltransferase"
"Mp4g15410"	""	""	""	"[K17972]: NAA20, NAT3; N-terminal acetyltransferase B complex catalytic subunit [EC:2.3.1.254];
[KOG3234]: Acetyltransferase, (GNAT) family; [R];
[PTHR45910]: N-ALPHA-ACETYLTRANSFERASE 20;
[PTHR45910:SF1]: N-ALPHA-ACETYLTRANSFERASE 20;
[PF00583]: Acetyltransferase (GNAT) family"
"Mp4g15420"	""	""	""	"[K11153]: RDH12; retinol dehydrogenase 12 [EC:1.1.1.300];
[KOG1208]: Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases); [Q];
[PTHR24320]: RETINOL DEHYDROGENASE;
[PTHR24320:SF225]: SHORT-CHAIN DEHYDROGENASE/REDUCTASE SDR;
[PF00106]: short chain dehydrogenase"
"Mp4g15430"	""	""	""	"[K03686]: dnaJ; molecular chaperone DnaJ"
"Mp4g15440"	""	""	""	"[K18848]: IAMT1; indole-3-acetate O-methyltransferase [EC:2.1.1.278];
[PTHR31009]: S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN;
[PTHR31009:SF42]: INDOLE-3-ACETATE O-METHYLTRANSFERASE 1;
[PF03492]: SAM dependent carboxyl methyltransferase"
"Mp4g15450"	""	""	""	"[K18848]: IAMT1; indole-3-acetate O-methyltransferase [EC:2.1.1.278];
[PTHR31009]: S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN;
[PTHR31009:SF42]: INDOLE-3-ACETATE O-METHYLTRANSFERASE 1;
[PF03492]: SAM dependent carboxyl methyltransferase"
"Mp4g15460"	"MpC3H18"	"transcription factor, C3H"	"[MpC3H18]: transcription factor, C3H"	"[K13152]: ZMAT5; U11/U12 small nuclear ribonucleoprotein 20 kDa protein;
[KOG3454]: U1 snRNP-specific protein C; [A];
[PTHR16465]: NUCLEASE-RELATED;
[PF06220]: U1 zinc finger;
[PF00642]: Zinc finger C-x8-C-x5-C-x3-H type (and similar)"
"Mp4g15480"	""	""	""	"[PTHR35302];
[PF12046]: Cofactor assembly of complex C subunit B"
"Mp4g15490"	""	""	""	"[K01097]: NANP; N-acylneuraminate-9-phosphatase [EC:3.1.3.29];
[KOG3085]: Predicted hydrolase (HAD superfamily); [R];
[PTHR46470]: N-ACYLNEURAMINATE-9-PHOSPHATASE;
[PF13419]: Haloacid dehalogenase-like hydrolase"
"Mp4g15500"	""	""	""	"[K20182]: VPS33A; vacuolar protein sorting-associated protein 33A;
[KOG1302]: Vacuolar sorting protein VPS33/slp1 (Sec1 family); [U];
[PTHR11679]: VESICLE PROTEIN SORTING-ASSOCIATED;
[PTHR11679:SF72];
[PF00995]: Sec1 family"
"Mp4g15510"	""	""	""	"[KOG2262]: Sexual differentiation process protein ISP4; [T];
[PTHR22601]: ISP4 LIKE PROTEIN;
[PF03169]: OPT oligopeptide transporter protein"
"Mp4g15520"	""	""	""	"[PTHR11709]: MULTI-COPPER OXIDASE;
[PTHR11709:SF2]: MULTICOPPER OXIDASE LPR2;
[PF07731]: Multicopper oxidase"
"Mp4g15540"	""	""	""	"[K13157]: RNPC3; U11/U12 small nuclear ribonucleoprotein 65 kDa protein;
[KOG0114]: Predicted RNA-binding protein (RRM superfamily); C-term missing; [R];
[PTHR16105:SF0]: RNA-BINDING REGION-CONTAINING PROTEIN 3;
[PTHR16105]: UNCHARACTERIZED;
[PF00076]: RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"Mp4g15560"	"MpBHLH11"	"transcription factor, bHLH"	"[MpBHLH11]: transcription factor, bHLH"	"[PTHR31945:SF11]: TRANSCRIPTION FACTOR ABORTED MICROSPORES;
[PTHR31945]: TRANSCRIPTION FACTOR SCREAM2-RELATED;
[PF00010]: Helix-loop-helix DNA-binding domain"
"Mp4g15570"	""	""	""	"[KOG0161]: Myosin class II heavy chain; N-term missing; [Z];
[PTHR32083:SF34]: COILED-COIL DOMAIN-CONTAINING PROTEIN 146;
[PTHR32083]: CILIA AND FLAGELLA-ASSOCIATED PROTEIN 58-RELATED"
"Mp4g15580"	""	""	""	"[KOG1208]: Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases); [Q];
[PTHR24320:SF213]: RETINOL DEHYDROGENASE 12-LIKE;
[PTHR24320]: RETINOL DEHYDROGENASE;
[PF00106]: short chain dehydrogenase"
"Mp4g15590"	"MpABCC7|MpABC49"	"ABC transporters"	"[MpABCC7|MpABC49]: ABC transporters"	"[K05666]: ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2;
[KOG0054]: Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily; [Q];
[PTHR24223]: ATP-BINDING CASSETTE SUB-FAMILY C;
[PTHR24223:SF367]: ABC TRANSPORTER C FAMILY PROTEIN;
[PF00005]: ABC transporter;
[PF00664]: ABC transporter transmembrane region"
"Mp4g15610"	""	""	""	"[PTHR42663:SF11]: PUTATIVE-RELATED;
[PTHR42663]: HYDROLASE C777.06C-RELATED-RELATED;
[PF12706]: Beta-lactamase superfamily domain"
"Mp4g15620"	""	""	""	"[PTHR21561]: INO80 COMPLEX SUBUNIT B;
[PF04438]: HIT zinc finger;
[PF04795]: PAPA-1-like conserved region"
"Mp4g15640"	""	""	""	"[K00784]: rnz; ribonuclease Z [EC:3.1.26.11];
[KOG2121]: Predicted metal-dependent hydrolase (beta-lactamase superfamily); N-term missing; [R];
[PTHR46018]: ZINC PHOSPHODIESTERASE ELAC PROTEIN 1;
[PTHR46018:SF2]: ZINC PHOSPHODIESTERASE ELAC PROTEIN 1;
[PF12706]: Beta-lactamase superfamily domain"
"Mp4g15650"	"MpNPF20"	"NPF transporter"	"[MpNPF20]: NPF transporter"	"[K14638]: SLC15A3_4, PHT; solute carrier family 15 (peptide/histidine transporter), member 3/4;
[KOG1237]: H+/oligopeptide symporter; [E];
[PTHR11654]: OLIGOPEPTIDE TRANSPORTER-RELATED;
[PTHR11654:SF494];
[PF00854]: POT family"
"Mp4g15670"	""	""	""	"[KOG1237]: H+/oligopeptide symporter; C-term missing; [E];
[PTHR11654]: OLIGOPEPTIDE TRANSPORTER-RELATED;
[PTHR11654:SF494]"
"Mp4g15680"	""	""	""	"[PTHR33021:SF348];
[PTHR33021]: BLUE COPPER PROTEIN;
[PF02298]: Plastocyanin-like domain"
"Mp4g15710"	""	""	""	"[PTHR33223];
[PF03732]: Retrotransposon gag protein"
"Mp4g15720"	""	""	""	"[K13606]: NOL, NYC1; chlorophyll(ide) b reductase [EC:1.1.1.294];
[KOG1199]: Short-chain alcohol dehydrogenase/3-hydroxyacyl-CoA dehydrogenase; [Q];
[PTHR24314:SF15]: CHLOROPHYLL(IDE) B REDUCTASE NOL, CHLOROPLASTIC;
[PTHR24314]: NON-SPECIFIC LIPID TRANSFER PROTEIN-RELATED;
[PF00106]: short chain dehydrogenase"
"Mp4g15730"	""	""	""	"[K01262]: pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9];
[KOG2413]: Xaa-Pro aminopeptidase; [E];
[PTHR43763:SF12]: AMINOPEPTIDASE P1;
[PTHR43763]: XAA-PRO AMINOPEPTIDASE 1;
[PF16188]: C-terminal region of peptidase_M24;
[PF01321]: Creatinase/Prolidase N-terminal domain;
[PF00557]: Metallopeptidase family M24;
[PF16189]: Creatinase/Prolidase N-terminal domain"
"Mp4g15760"	""	""	""	"[K01537]: ATP2C; P-type Ca2+ transporter type 2C [EC:7.2.2.10]"
"Mp4g15770"	""	""	""	"[KOG0166]: Karyopherin (importin) alpha; C-term missing; [U];
[PTHR23315]: U BOX DOMAIN-CONTAINING;
[PF00514]: Armadillo/beta-catenin-like repeat"
"Mp4g15780"	""	""	""	"[K05863]: SLC25A4S, ANT; solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31;
[KOG0749]: Mitochondrial ADP/ATP carrier proteins; [C];
[PTHR45635]: ADP,ATP CARRIER PROTEIN 1-RELATED-RELATED;
[PTHR45635:SF18]: ADP,ATP CARRIER PROTEIN 1, MITOCHONDRIAL-RELATED;
[PF00153]: Mitochondrial carrier protein"
"Mp4g15790"	""	""	""	"[K02872]: RP-L13Ae, RPL13A; large subunit ribosomal protein L13Ae;
[KOG3204]: 60S ribosomal protein L13a; [J];
[PTHR11545]: RIBOSOMAL PROTEIN L13;
[PTHR11545:SF26]: BNACNNG21840D PROTEIN;
[PF00572]: Ribosomal protein L13"
"Mp4g15800"	""	""	""	"[K02932]: RP-L5e, RPL5; large subunit ribosomal protein L5e;
[KOG0875]: 60S ribosomal protein L5; [J];
[PTHR23410]: RIBOSOMAL PROTEIN L5-RELATED;
[PTHR23410:SF30]: PROTEIN L5, PUTATIVE-RELATED;
[PF17144]: Ribosomal large subunit proteins 60S L5, and 50S L18;
[PF14204]: Ribosomal L18 C-terminal region"
"Mp4g15820"	""	""	""	"[PTHR35759]: BNAA09G03860D PROTEIN"
"Mp4g15830"	""	""	""	"[K01104]: E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48];
[KOG3217]: Protein tyrosine phosphatase; [T];
[PTHR11717:SF7]: LOW MOLECULAR WEIGHT PHOSPHOTYROSINE PROTEIN PHOSPHATASE;
[PTHR11717]: LOW MOLECULAR WEIGHT PROTEIN TYROSINE PHOSPHATASE;
[PF01451]: Low molecular weight phosphotyrosine protein phosphatase"
"Mp4g15860"	""	""	""	"[PTHR33431:SF3]: ENABLED-LIKE PROTEIN (DUF1635);
[PTHR33431]: ENABLED-LIKE PROTEIN (DUF1635);
[PF07795]: Protein of unknown function (DUF1635)"
"Mp4g15880"	""	""	""	"[K09131]: K09131; uncharacterized protein;
[KOG3276]: Uncharacterized conserved protein, contains YggU domain; [S];
[PTHR47817]: OS04G0686300 PROTEIN;
[PF02594]: Uncharacterised ACR, YggU family COG1872"
"Mp4g15890"	"MpFERONIA/MpTHESEUS"	"LRR-RLK"	"[MpFERONIA/MpTHESEUS]: LRR-RLK"	"[KOG1187]: Serine/threonine protein kinase; [T];
[PTHR27003]: OS07G0166700 PROTEIN;
[PTHR27003:SF296]: OS03G0759600 PROTEIN;
[PF07714]: Protein tyrosine and serine/threonine kinase;
[PF12819]: Malectin-like domain"
"Mp4g15910"	""	""	""	"[KOG2644]: 3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes; [EH];
[PTHR23293]: FAD SYNTHETASE-RELATED  FMN ADENYLYLTRANSFERASE;
[PTHR23293:SF12]: FAD SYNTHASE-LIKE;
[PF00994]: Probable molybdopterin binding domain;
[PF01507]: Phosphoadenosine phosphosulfate reductase family"
"Mp4g15940"	"MpLDAP"	"lipid droplets associated protein"	"[MpLDAP]: lipid droplets associated protein"	"[PTHR33732]: REF/SRPP-LIKE PROTEIN OS05G0151300/LOC_OS05G05940;
[PTHR33732:SF3]: STRESS-RELATED PROTEIN-LIKE;
[PF05755]: Rubber elongation factor protein (REF)"
"Mp4g15950"	""	""	""	"[K23289]: EIPR1, TSSC1; EARP and GARP complex-interacting protein 1;
[KOG1007]: WD repeat protein TSSC1, WD repeat superfamily; [S];
[PTHR14205:SF16]: WD REPEAT-CONTAINING PROTEIN DWA2;
[PTHR14205]: WD-REPEAT PROTEIN;
[PF00400]: WD domain, G-beta repeat"
"Mp4g15960"	""	""	""	"[PTHR13585]: CHASCON, ISOFORM D-RELATED"
"Mp4g15970"	""	""	""	"[KOG4628]: Predicted E3 ubiquitin ligase; N-term missing; C-term missing; [O];
[PTHR45969]: RING ZINC FINGER PROTEIN-RELATED;
[PTHR45969:SF28]: EMB|CAB89405.1-RELATED;
[PF13639]: Ring finger domain"
"Mp4g15980"	""	""	""	"[KOG0149]: Predicted RNA-binding protein SEB4 (RRM superfamily); C-term missing; [R];
[PTHR48024:SF20]: GLYCINE-RICH RNA-BINDING, ABSCISIC ACID-INDUCIBLE PROTEIN;
[PTHR48024]: GEO13361P1-RELATED;
[PF00076]: RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"Mp4g15990"	"MpDDB1"	"A subunit of CDD complex"	"[MpDDB1]: A subunit of CDD complex"	"[K10610]: DDB1; DNA damage-binding protein 1;
[KOG1897]: Damage-specific DNA binding complex, subunit DDB1; [L];
[PTHR10644:SF20]: DNA DAMAGE-BINDING PROTEIN 1B;
[PTHR10644]: DNA REPAIR/RNA PROCESSING CPSF FAMILY;
[PF03178]: CPSF A subunit region;
[PF10433]: Mono-functional DNA-alkylating methyl methanesulfonate N-term"
"Mp4g16000"	""	""	""	"[PTHR38020]: UROPORPHYRINOGEN-III SYNTHASE;
[PF02602]: Uroporphyrinogen-III synthase HemD"
"Mp4g16050"	""	""	""	"[KOG3183]: Predicted Zn-finger protein; C-term missing; [R];
[PTHR14677:SF20]: AN1-TYPE ZINC FINGER PROTEIN 1;
[PTHR14677]: ARSENITE INDUCUBLE RNA ASSOCIATED PROTEIN AIP-1-RELATED;
[PF01428]: AN1-like Zinc finger"
"Mp4g16060"	""	""	""	"[PTHR31697]: INTEGRATOR COMPLEX SUBUNIT 5"
"Mp4g16100"	""	""	""	"[K14772]: UTP20; U3 small nucleolar RNA-associated protein 20;
[KOG1823]: DRIM (Down-regulated in metastasis)-like proteins; [V];
[PTHR17695]: UNCHARACTERIZED;
[PF07539]: Down-regulated in metastasis"
"Mp4g16160"	"MpBAH1"	"Chromatin related protein"	"[MpBAH1]: Chromatin related protein"	"[KOG1886]: BAH domain proteins; [K];
[PTHR46548:SF1]: BAH AND TFIIS DOMAIN-CONTAINING PROTEIN-RELATED;
[PTHR46548]: BAH AND TFIIS DOMAIN-CONTAINING PROTEIN-RELATED;
[PF01426]: BAH domain;
[PF08711]: TFIIS helical bundle-like domain"
"Mp4g16230"	"MpBAH2"	"Chromatin related protein"	"[MpBAH2]: Chromatin related protein"	"[KOG1886]: BAH domain proteins; [K];
[PTHR46548]: BAH AND TFIIS DOMAIN-CONTAINING PROTEIN-RELATED;
[PTHR46548:SF1]: BAH AND TFIIS DOMAIN-CONTAINING PROTEIN-RELATED;
[PF08711]: TFIIS helical bundle-like domain;
[PF01426]: BAH domain"
"Mp4g16240"	""	""	""	"[KOG1237]: H+/oligopeptide symporter; C-term missing; [E];
[PTHR11654]: OLIGOPEPTIDE TRANSPORTER-RELATED;
[PTHR11654:SF78]: PROTEIN NRT1/ PTR FAMILY 6.3-LIKE;
[PF00854]: POT family"
"Mp4g16250"	""	""	""	"[KOG4350]: Uncharacterized conserved protein, contains BTB/POZ domain; C-term missing; [R];
[PTHR24413:SF213]: FI01029P-RELATED;
[PTHR24413]: SPECKLE-TYPE POZ PROTEIN;
[PF00651]: BTB/POZ domain"
"Mp4g16280"	"MpABCI3|MpABC50"	"ABC transporters"	"[MpABCI3|MpABC50]: ABC transporters"	"[K12483]: EHD1; EH domain-containing protein 1;
[KOG1954]: Endocytosis/signaling protein EHD1; C-term missing; [TU];
[KOG0998]: Synaptic vesicle protein EHS-1 and related EH domain proteins; C-term missing; [TU];
[PTHR11216:SF121]: OS02G0158100 PROTEIN;
[PTHR11216]: EH DOMAIN;
[PF00350]: Dynamin family;
[PF16880]: N-terminal EH-domain containing protein;
[PF12763]: Cytoskeletal-regulatory complex EF hand;
[PF18150]: Domain of unknown function (DUF5600)"
"Mp4g16290"	""	""	""	"[K01193]: INV, sacA; beta-fructofuranosidase [EC:3.2.1.26];
[KOG0228]: Beta-fructofuranosidase (invertase); [G];
[PTHR31953]: BETA-FRUCTOFURANOSIDASE, INSOLUBLE ISOENZYME CWINV1-RELATED;
[PF00251]: Glycosyl hydrolases family 32 N-terminal domain;
[PF08244]: Glycosyl hydrolases family 32 C terminal"
"Mp4g16300"	""	""	""	"[PTHR34806:SF1]: HIGH-AFFINITY NITRATE TRANSPORTER 3.2;
[PTHR34806]: HIGH-AFFINITY NITRATE TRANSPORTER 3.2;
[PF16974]: High-affinity nitrate transporter accessory"
"Mp4g16320"	""	""	""	"[K02575]: NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter;
[KOG2533]: Permease of the major facilitator superfamily; [G];
[PTHR23515:SF29]: HIGH AFFINITY NITRATE TRANSPORTER 2.4;
[PTHR23515]: HIGH-AFFINITY NITRATE TRANSPORTER 2.3;
[PF07690]: Major Facilitator Superfamily"
"Mp4g16330"	""	""	""	"[K14807]: DDX51, DBP6; ATP-dependent RNA helicase DDX51/DBP6 [EC:3.6.4.13];
[KOG0350]: DEAD-box ATP-dependent RNA helicase; N-term missing; C-term missing; [A];
[PTHR24031:SF68]: ATP-DEPENDENT RNA HELICASE DDX51;
[PTHR24031]: RNA HELICASE;
[PF00270]: DEAD/DEAH box helicase"
"Mp4g16340"	""	""	""	"[PTHR47679]: PROTEIN TORNADO 1;
[PF08477]: Ras of Complex, Roc, domain of DAPkinase"
"Mp4g16370"	""	""	""	"[K01495]: GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16];
[KOG2698]: GTP cyclohydrolase I; N-term missing; [H];
[PTHR11109]: GTP CYCLOHYDROLASE I;
[PTHR11109:SF9]: GTP CYCLOHYDROLASE I 1;
[PF01227]: GTP cyclohydrolase I"
"Mp4g16380"	""	""	""	"[K12813]: DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13];
[KOG0923]: mRNA splicing factor ATP-dependent RNA helicase; [A];
[PTHR18934:SF208]: OS05G0389800 PROTEIN;
[PTHR18934]: ATP-DEPENDENT RNA HELICASE;
[PF04408]: Helicase associated domain (HA2);
[PF07717]: Oligonucleotide/oligosaccharide-binding (OB)-fold;
[PF00271]: Helicase conserved C-terminal domain"
"Mp4g16390"	""	""	""	"[K02132]: ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha;
[KOG1353]: F0F1-type ATP synthase, alpha subunit; N-term missing; C-term missing; [C]"
"Mp4g16400"	""	""	""	"[PTHR34801]: EXPRESSED PROTEIN;
[PF07386]: Protein of unknown function (DUF1499)"
"Mp4g16420"	""	""	""	"[PTHR33228]: PROTEIN GLUTAMINE DUMPER 4-RELATED"
"Mp4g16430"	""	""	""	"[PTHR33477]: P-LOOP NTPASE DOMAIN-CONTAINING PROTEIN LPA1 HOMOLOG 1;
[PTHR33477:SF3]: P-LOOP NTPASE DOMAIN-CONTAINING PROTEIN LPA1 HOMOLOG 1;
[PF13671]: AAA domain"
"Mp4g16460"	""	""	""	"[KOG3371]: Uncharacterized conserved protein; N-term missing; [S];
[PTHR15854]: THAP4 PROTEIN;
[PF08768]: Domain of unknown function (DUF1794)"
"Mp4g16470"	""	""	""	"[KOG2207]: Predicted 3'-5' exonuclease; [L];
[PTHR13620]: 3-5 EXONUCLEASE;
[PTHR13620:SF42]: EXONUCLEASE MUT-7 HOMOLOG;
[PF00035]: Double-stranded RNA binding motif;
[PF01612]: 3'-5' exonuclease"
"Mp4g16480"	""	""	""	"[KOG2187]: tRNA uracil-5-methyltransferase and related tRNA-modifying enzymes; [J];
[PTHR11061:SF30]: TRNA (URACIL(54)-C(5))-METHYLTRANSFERASE;
[PTHR11061]: RNA M5U METHYLTRANSFERASE;
[PF05958]: tRNA (Uracil-5-)-methyltransferase"
"Mp4g16490"	""	""	""	"[KOG0618]: Serine/threonine phosphatase 2C containing leucine-rich repeats, similar to SCN circadian oscillatory protein (SCOP); C-term missing; [T];
[PTHR48056]: LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE-RELATED;
[PTHR48056:SF34]: LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE ERL1-RELATED;
[PF08263]: Leucine rich repeat N-terminal domain;
[PF13855]: Leucine rich repeat"
"Mp4g16510"	""	""	""	"[K10899]: RECQL; ATP-dependent DNA helicase Q1 [EC:3.6.4.12];
[KOG0351]: ATP-dependent DNA helicase; N-term missing; C-term missing; [L];
[PTHR13710:SF128]: ATP-DEPENDENT DNA HELICASE Q-LIKE 4A;
[PTHR13710]: DNA HELICASE RECQ FAMILY MEMBER;
[PF00270]: DEAD/DEAH box helicase;
[PF16124]: RecQ zinc-binding;
[PF00271]: Helicase conserved C-terminal domain"
"Mp4g16550"	""	""	""	"[K02639]: petF; ferredoxin;
[PTHR43112]: FERREDOXIN;
[PTHR43112:SF30]: FERREDOXIN-3, CHLOROPLASTIC;
[PF00111]: 2Fe-2S iron-sulfur cluster binding domain"
"Mp4g16560"	"MpPTB4"	"phosphate"	"[MpPTB4]: phosphate"	"[K14640]: SLC20A, PIT; solute carrier family 20 (sodium-dependent phosphate transporter);
[KOG2493]: Na+/Pi symporter; [P];
[PTHR11101:SF85]: PHOSPHATE TRANSPORTER;
[PTHR11101]: PHOSPHATE TRANSPORTER;
[PF01384]: Phosphate transporter family"
